Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,CONN_CAP_IBM_F,CONN_CAP_IBM_F,-43.195,118.02,90.0,top
J2,CONN_CAP_IBM_F,BEAMSPRING-CARD-EDGE,14.205,124.42,0.0,top
SW_01,"1,7 (F1)",SW_CAP_IBM_B,-146.43,89.97,0.0,top
SW_02,"1,8 (F2)",SW_CAP_IBM_B,-127.38,89.97,180.0,top
SW_03,"1,5 (F3)",SW_CAP_IBM_B,-146.43,70.92,0.0,top
SW_04,"1,6 (F4)",SW_CAP_IBM_B,-127.38,70.92,180.0,top
SW_05,"1,4 (F5)",SW_CAP_IBM_B,-146.43,51.87,0.0,top
SW_06,"2,5 (F6)",SW_CAP_IBM_B,-127.38,51.87,0.0,top
SW_07,"1,3 (F7)",SW_CAP_IBM_B,-146.43,32.82,0.0,top
SW_08,"2,4 (F8)",SW_CAP_IBM_B,-127.38,32.82,0.0,top
SW_09,"1,2 (F9)",SW_CAP_IBM_B,-146.43,13.77,0.0,top
SW_10,"2,2 (F10)",SW_CAP_IBM_B,-127.38,13.77,0.0,top
SW_11,"1,1 (F11)",SW_CAP_IBM_B,-146.43,-5.28,0.0,top
SW_12,"2,1 (F12)",SW_CAP_IBM_B,-127.38,-5.28,0.0,top
SW_13,"2,8 (ESC)",SW_CAP_IBM_B,-99.63,70.92,0.0,top
SW_14,"2,7 (01)",SW_CAP_IBM_B,-80.58,70.92,180.0,top
SW_15,"3,8 (02)",SW_CAP_IBM_B,-61.53,70.92,0.0,top
SW_16,"4,8 (03)",SW_CAP_IBM_B,-42.48,70.92,0.0,top
SW_17,"4,7 (04)",SW_CAP_IBM_B,-23.43,70.92,180.0,top
SW_18,"5,8 (05)",SW_CAP_IBM_B,-4.38,70.92,0.0,top
SW_19,"5,7 (06)",SW_CAP_IBM_B,14.67,70.92,180.0,top
SW_20,"6,8 (07)",SW_CAP_IBM_B,33.72,70.92,0.0,top
SW_21,"6,7 (08)",SW_CAP_IBM_B,52.77,70.92,180.0,top
SW_22,"7,8 (09)",SW_CAP_IBM_B,71.82,70.92,0.0,top
SW_23,"7,7 (00)",SW_CAP_IBM_B,90.87,70.92,180.0,top
SW_24,"8,8 (MINS)",SW_CAP_IBM_B,109.92,70.92,0.0,top
SW_25,"8,7 (PLUS)",SW_CAP_IBM_B,128.97,70.92,180.0,top
SW_26,"9,8 (BACK)",SW_CAP_IBM_B,154.97,70.92,0.0,top
SW_27,"9,7 (XTRA)",SW_CAP_IBM_B,180.42,70.92,180.0,top
SW_28,"2,6 (TAB)",SW_CAP_IBM_B,-94.8675,51.87,180.0,top
SW_29,"3,7 (Q)",SW_CAP_IBM_B,-72.1175,51.87,0.0,top
SW_30,"3,6 (W)",SW_CAP_IBM_B,-53.0675,51.87,180.0,top
SW_31,"4,6 (E)",SW_CAP_IBM_B,-34.0175,51.87,0.0,top
SW_32,"4,5 (R)",SW_CAP_IBM_B,-14.9675,51.87,180.0,top
SW_33,"5,6 (T)",SW_CAP_IBM_B,4.0825,51.87,180.0,top
