Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,CONN_CAP_IBM_F,CONN_CAP_IBM_F,192.88,-125.1,90.0,top
J2,CONN_CAP_IBM_F,BEAMSPRING-CARD-EDGE,250.28,-118.7,0.0,top
SW_01,"1,7 (F1)",SW_CAP_IBM_B,89.645,-153.15,0.0,top
SW_02,"1,8 (F2)",SW_CAP_IBM_B,108.695,-153.15,0.0,top
SW_03,"1,5 (F3)",SW_CAP_IBM_B,89.645,-172.2,0.0,top
SW_04,"1,6 (F4)",SW_CAP_IBM_B,108.695,-172.2,180.0,top
SW_05,"1,4 (F5)",SW_CAP_IBM_B,89.645,-191.25,0.0,top
SW_06,"2,5 (F6)",SW_CAP_IBM_B,108.695,-191.25,0.0,top
SW_07,"1,3 (F7)",SW_CAP_IBM_B,89.645,-210.3,0.0,top
SW_08,"2,4 (F8)",SW_CAP_IBM_B,108.695,-210.3,0.0,top
SW_09,"1,2 (F9)",SW_CAP_IBM_B,89.645,-229.35,0.0,top
SW_10,"2,2 (F10)",SW_CAP_IBM_B,108.695,-229.35,0.0,top
SW_11,"1,1 (F11)",SW_CAP_IBM_B,89.645,-248.4,0.0,top
SW_12,"2,1 (F12)",SW_CAP_IBM_B,108.695,-248.4,0.0,top
SW_13,"2,8 (ESC)",SW_CAP_IBM_B,136.445,-172.2,0.0,top
SW_14,"2,7 (01)",SW_CAP_IBM_B,155.495,-172.2,180.0,top
SW_15,"3,8 (02)",SW_CAP_IBM_B,174.545,-172.2,0.0,top
SW_16,"4,8 (03)",SW_CAP_IBM_B,193.595,-172.2,0.0,top
SW_17,"4,7 (04)",SW_CAP_IBM_B,212.645,-172.2,180.0,top
SW_18,"5,8 (05)",SW_CAP_IBM_B,231.695,-172.2,0.0,top
SW_19,"5,7 (06)",SW_CAP_IBM_B,250.745,-172.2,180.0,top
SW_20,"6,8 (07)",SW_CAP_IBM_B,269.795,-172.2,0.0,top
SW_21,"6,7 (08)",SW_CAP_IBM_B,288.845,-172.2,180.0,top
SW_22,"7,8 (09)",SW_CAP_IBM_B,307.895,-172.2,0.0,top
SW_23,"7,7 (00)",SW_CAP_IBM_B,326.945,-172.2,180.0,top
SW_24,"8,8 (MINS)",SW_CAP_IBM_B,345.995,-172.2,0.0,top
SW_25,"8,7 (PLUS)",SW_CAP_IBM_B,365.045,-172.2,180.0,top
SW_26,"9,8 (BACK)",SW_CAP_IBM_B,391.045,-172.2,0.0,top
SW_27,"9,7 (XTRA)",SW_CAP_IBM_B,416.495,-172.2,180.0,top
SW_28,"2,6 (TAB)",SW_CAP_IBM_B,141.2075,-191.25,180.0,top
SW_29,"3,7 (Q)",SW_CAP_IBM_B,163.9575,-191.25,0.0,top
SW_30,"3,6 (W)",SW_CAP_IBM_B,183.0075,-191.25,180.0,top
SW_31,"4,6 (E)",SW_CAP_IBM_B,202.0575,-191.25,0.0,top
SW_32,"4,5 (R)",SW_CAP_IBM_B,221.1075,-191.25,180.0,top
SW_33,"5,6 (T)",SW_CAP_IBM_B,240.1575,-191.25,180.0,top
SW_34,"6,5 (Y)",SW_CAP_IBM_B,259.2075,-191.25,0.0,top
SW_35,"6,6 (U)",SW_CAP_IBM_B,278.2575,-191.25,180.0,top
SW_36,"7,5 (I)",SW_CAP_IBM_B,297.3075,-191.25,0.0,top
